target	frequency
regex=[Bb][Oo][Nn][Hh][Ee][Uu][RrSs]?	1212
bonheur	1134
Bonheur	72
BONHEUR	5
bOnHeUR	1

token	corpus size	all contexts size	frequency	co-frequency	specificity
marche	24995	15566	5	4	0.55
fonction	24995	15566	5	4	0.55
instant	24995	15566	5	4	0.55
Ca	24995	15566	5	4	0.55
l'idée	24995	15566	5	4	0.55
Fév	24995	15566	5	4	0.55
fil	24995	15566	5	4	0.55
permanent	24995	15566	5	4	0.55
effectivement	24995	15566	5	4	0.55
sagesse	24995	15566	5	4	0.55
créer	24995	15566	5	4	0.55
siècle	24995	15566	5	4	0.55
j'étais	24995	15566	5	4	0.55
mois	24995	15566	6	4	0.49
Après	24995	15566	6	4	0.49
avons	24995	15566	6	4	0.49
suffit	24995	15566	6	4	0.49
qu'en	24995	15566	6	4	0.49
raison	24995	15566	6	4	0.49
malgré	24995	15566	6	4	0.49
l'instant	24995	15566	6	4	0.49
facilement	24995	15566	6	4	0.49
l'argent	24995	15566	6	4	0.49
manière	24995	15566	6	4	0.49
culture	24995	15566	6	4	0.49
Du	24995	15566	6	4	0.49
définir	24995	15566	6	4	0.49
satisfaction	24995	15566	6	4	0.49
regarde	24995	15566	6	4	0.49
corps	24995	15566	6	4	0.49
questions	24995	15566	6	4	0.49
j'avais	24995	15566	6	4	0.49
fort	24995	15566	6	4	0.49
grande	24995	15566	6	4	0.49
triste	24995	15566	6	4	0.49
dirais	24995	15566	6	4	0.49
regarder	24995	15566	5	3	0.46
d'ailleurs	24995	15566	5	3	0.46
appareil	24995	15566	5	3	0.46
soir	24995	15566	5	3	0.46
��une	24995	15566	5	3	0.46
instants	24995	15566	5	3	0.46
ai	24995	15566	5	3	0.46
intérieur	24995	15566	5	3	0.46
qu'elle	24995	15566	5	3	0.46
répondre	24995	15566	5	3	0.46
vois	24995	15566	5	3	0.46
rester	24995	15566	5	3	0.46
social	24995	15566	5	3	0.46
sorte	24995	15566	5	3	0.46
accéder	24995	15566	5	3	0.46
pourtant	24995	15566	5	3	0.46
aimé	24995	15566	5	3	0.46
concept	24995	15566	5	3	0.46
aurait	24995	15566	5	3	0.46
Spinoza	24995	15566	5	3	0.46
totalement	24995	15566	5	3	0.46
chocolat	24995	15566	5	3	0.46
positive	24995	15566	5	3	0.46
Pas	24995	15566	5	3	0.46
début	24995	15566	5	3	0.46
��avoir	24995	15566	5	3	0.46
paix	24995	15566	5	3	0.46
Aujourd	24995	15566	5	3	0.46
mérite	24995	15566	5	3	0.46
tabou	24995	15566	5	3	0.46
positif	24995	15566	5	3	0.46
malheureux	24995	15566	4	3	0.44
qu'elles	24995	15566	4	3	0.44
qu'une	24995	15566	4	3	0.44
malheurs	24995	15566	4	3	0.44
s'est	24995	15566	4	3	0.44
vaut	24995	15566	4	3	0.44
partage	24995	15566	4	3	0.44
merci	24995	15566	4	3	0.44
formes	24995	15566	4	3	0.44
Bonne	24995	15566	4	3	0.44
psychologie	24995	15566	4	3	0.44
illusion	24995	15566	4	3	0.44
janvier	24995	15566	4	3	0.44
croyance	24995	15566	4	3	0.44
notamment	24995	15566	4	3	0.44
laisse	24995	15566	4	3	0.44
Jean	24995	15566	4	3	0.44
éphémère	24995	15566	4	3	0.44
mien	24995	15566	4	3	0.44
vivant	24995	15566	4	3	0.44
total	24995	15566	4	3	0.44
premier	24995	15566	4	3	0.44
LA	24995	15566	4	3	0.44
réveiller	24995	15566	4	3	0.44
amis	24995	15566	4	3	0.44
Ne	24995	15566	4	3	0.44
recevoir	24995	15566	4	3	0.44
l'eau	24995	15566	4	3	0.44
manie	24995	15566	4	3	0.44
faudrait	24995	15566	4	3	0.44
demander	24995	15566	4	3	0.44
d'	24995	15566	4	3	0.44
énormément	24995	15566	4	3	0.44
enfin	24995	15566	4	3	0.44
existence	24995	15566	4	3	0.44
permet	24995	15566	4	3	0.44
camping	24995	15566	4	3	0.44
cc	24995	15566	4	3	0.44
partir	24995	15566	4	3	0.44
particulièrement	24995	15566	4	3	0.44
terme	24995	15566	4	3	0.44
quotidien	24995	15566	4	3	0.44
négatif	24995	15566	4	3	0.44
travaille	24995	15566	4	3	0.44
Lyla	24995	15566	4	3	0.44
perception	24995	15566	4	3	0.44
grandement	24995	15566	4	3	0.44
occasions	24995	15566	4	3	0.44
désire	24995	15566	2	2	0.41
n'avez	24995	15566	2	2	0.41
fini	24995	15566	2	2	0.41
entend	24995	15566	2	2	0.41
gestes	24995	15566	2	2	0.41
entravé	24995	15566	2	2	0.41
devant	24995	15566	2	2	0.41
écartées	24995	15566	2	2	0.41
combien	24995	15566	2	2	0.41
zoliiiiiiiiiiiiiie	24995	15566	2	2	0.41
longs	24995	15566	2	2	0.41
peine	24995	15566	2	2	0.41
pièces	24995	15566	2	2	0.41
jeu	24995	15566	2	2	0.41
Philooo	24995	15566	2	2	0.41
disparaît	24995	15566	2	2	0.41
lieu	24995	15566	2	2	0.41
ligne	24995	15566	2	2	0.41
sympa	24995	15566	2	2	0.41
Vincent	24995	15566	2	2	0.41
oublié	24995	15566	2	2	0.41
journées	24995	15566	2	2	0.41
Index	24995	15566	2	2	0.41
Inscription	24995	15566	2	2	0.41
Newsletter	24995	15566	2	2	0.41
Psychomédia	24995	15566	2	2	0.41
distinctes	24995	15566	2	2	0.41
Harvard	24995	15566	2	2	0.41
ipip	24995	15566	2	2	0.41
neo	24995	15566	2	2	0.41
apporté	24995	15566	2	2	0.41
Haut	24995	15566	2	2	0.41
Archives	24995	15566	2	2	0.41
BNB	24995	15566	2	2	0.41
bruit	24995	15566	2	2	0.41
disait	24995	15566	2	2	0.41
confondre	24995	15566	2	2	0.41
concerné	24995	15566	2	2	0.41
caractère	24995	15566	2	2	0.41
lié	24995	15566	2	2	0.41
renoncer	24995	15566	2	2	0.41
versus	24995	15566	2	2	0.41
possession	24995	15566	2	2	0.41
aurai	24995	15566	2	2	0.41
n'avoir	24995	15566	2	2	0.41
paka	24995	15566	2	2	0.41
l'inconnu	24995	15566	2	2	0.41
l'image	24995	15566	2	2	0.41
Poképédia	24995	15566	2	2	0.41
bonjour	24995	15566	2	2	0.41
points	24995	15566	2	2	0.41
Augmenter	24995	15566	2	2	0.41
suivant	24995	15566	2	2	0.41
J'imagine	24995	15566	2	2	0.41
joueur	24995	15566	2	2	0.41
Romantiques	24995	15566	2	2	0.41
françaises	24995	15566	2	2	0.41
science	24995	15566	2	2	0.41
Qu	24995	15566	2	2	0.41
important	24995	15566	2	2	0.41
naturel	24995	15566	2	2	0.41
décrite	24995	15566	2	2	0.41
hommes	24995	15566	2	2	0.41
Contrat	24995	15566	2	2	0.41
l'inverse	24995	15566	2	2	0.41
l'issue	24995	15566	2	2	0.41
clairement	24995	15566	2	2	0.41
considère	24995	15566	2	2	0.41
mélanger	24995	15566	2	2	0.41
heur	24995	15566	2	2	0.41
éternel	24995	15566	2	2	0.41
verritable	24995	15566	2	2	0.41
feliciter	24995	15566	2	2	0.41
l'idee	24995	15566	2	2	0.41
spiritualité	24995	15566	2	2	0.41
